,Rank,school_name,Earnings per Dollar (Cost)
2124,1,Augusta University,7.19
1205,2,Leeward Community College,4.32
305,3,Pearl River Community College,4.16
590,4,Westmoreland County Community College,4.0
2203,5,St Charles Community College,3.91
1751,6,Roxbury Community College,3.79
498,7,Clackamas Community College,3.68
2144,8,South Plains College,3.62
1949,9,Cleveland Community College,3.6
2261,10,South Texas College,3.59
1580,11,Indian River State College,3.58
161,12,University of Hawaii-West Oahu,3.58
171,13,Elgin Community College,3.56
932,14,Bismarck State College,3.55
848,15,Moorpark College,3.54
830,16,Foothill College,3.5
1820,17,North Central Michigan College,3.45
1577,18,Palm Beach State College,3.42
1313,19,Middlesex Community College,3.41
1856,20,Raritan Valley Community College,3.37
674,21,Wytheville Community College,3.37
2114,22,University of Connecticut-Stamford,3.34
1771,23,Harford Community College,3.33
1206,24,Honolulu Community College,3.32
782,25,University of Connecticut-Tri-Campus,3.32
659,26,Collin County Community College District,3.31
62,27,Pima Community College,3.3
1204,28,Kapiolani Community College,3.29
984,29,Butler County Community College,3.29
1574,30,Pennsylvania Highlands Community College,3.28
1108,31,Wharton County Junior College,3.26
1811,32,Monroe County Community College,3.25
374,33,Lorain County Community College,3.25
2264,34,Carroll Community College,3.24
202,35,Chattahoochee Valley Community College,3.24
2104,36,Lamar State College-Orange,3.23
1061,37,Galveston College,3.18
232,38,University of Maryland-University College,3.12
1213,39,Joliet Junior College,3.11
822,40,Canada College,3.1
1593,41,Waubonsee Community College,3.1
114,42,Delaware Technical Community College-Terry,3.09
1669,43,Skyline College,3.08
74,44,De Anza College,3.08
496,45,Oklahoma State University-Oklahoma City,3.07
1177,46,Lehigh Carbon Community College,3.06
734,47,North Central Texas College,3.05
1214,48,College of Lake County,3.04
276,49,Frederick Community College,3.04
706,50,Brazosport College,3.04
80,51,Grossmont College,3.02
1917,52,Wayne Community College,3.02
299,53,Schoolcraft College,3.02
785,54,Santiago Canyon College,2.99
2027,55,Southeast Community College Area,2.98
927,56,Sinclair Community College,2.98
2112,57,Northwest Vista College,2.97
889,58,Manchester Community College,2.96
197,59,John A Logan College,2.93
1710,60,Three Rivers Community College,2.93
907,61,Santa Ana College,2.93
251,62,Grand Rapids Community College,2.92
1242,63,Chattahoochee Technical College,2.92
1766,64,Alpena Community College,2.91
1353,65,Massachusetts Maritime Academy,2.9
235,66,Prince George's Community College,2.9
1792,67,Labette Community College,2.89
1649,68,Ventura College,2.89
425,69,Mercer County Community College,2.89
546,70,North Dakota State College of Science,2.87
979,71,Oregon Institute of Technology,2.86
267,72,Triton College,2.85
547,73,Dickinson State University,2.85
361,74,Niagara County Community College,2.84
210,75,Northeast Alabama Community College,2.84
1269,76,Highland Community College,2.83
600,77,Lone Star College System,2.81
1686,78,Georgia Institute of Technology-Main Campus,2.81
682,79,Odessa College,2.79
429,80,CUNY Bernard M Baruch College,2.79
1443,81,Seward County Community College,2.78
605,82,The University of Texas of the Permian Basin,2.78
175,83,City Colleges of Chicago-Wilbur Wright College,2.76
664,84,Midland College,2.76
997,85,Eastern Oklahoma State College,2.76
413,86,Union County College,2.76
1561,87,Citrus College,2.75
1501,88,SUNY Maritime College,2.75
304,89,Northwest Mississippi Community College,2.75
156,90,Brigham Young University-Idaho,2.75
480,91,Oakton Community College,2.75
1270,92,Garden City Community College,2.74
2157,93,Palo Alto College,2.73
1285,94,Cecil College,2.73
380,95,Eastern Gateway Community College,2.72
1314,96,Delta College,2.71
263,97,Kellogg Community College,2.71
1761,98,Bristol Community College,2.71
1632,99,College of the Sequoias,2.71
598,100,Tarrant County College District,2.69
1079,101,San Antonio College,2.68
892,102,Middlesex Community College,2.68
1208,103,Hillsborough Community College,2.68
2145,104,The University of Texas Rio Grande Valley,2.67
609,105,Weber State University,2.67
844,106,Mt San Antonio College,2.67
1724,107,Albany Technical College,2.66
1264,108,Johnson County Community College,2.66
1224,109,Morton College,2.66
1527,110,University of Alaska Anchorage,2.66
1681,111,Tallahassee Community College,2.65
1322,112,Quinsigamond Community College,2.65
619,113,Fox Valley Technical College,2.65
412,114,Central New Mexico Community College,2.65
2243,115,Potomac State College of West Virginia University,2.65
1493,116,Missouri University of Science and Technology,2.64
1250,117,Iowa Central Community College,2.64
2149,118,St Philip's College,2.64
283,119,Hagerstown Community College,2.64
2138,120,Nevada State College,2.63
72,121,City College of San Francisco,2.63
2161,122,Bellevue College,2.63
